barcode	replica	sampling	depth	completeness	pangolin	seq
barcode13	2	3500	187.867	98.0152671755725	Unassigned	omicron
barcode13	2	4000	208.748	98.0152671755725	Unassigned	omicron
barcode13	2	4500	228.441	98.0152671755725	Unassigned	omicron
barcode13	2	500	33.275	NA	BA.1.1	omicron
barcode13	2	5000	245.376	98.0152671755725	Unassigned	omicron
barcode13	2	5500	260.965	98.0152671755725	Unassigned	omicron
barcode13	2	6000	276.449	98.0152671755725	Unassigned	omicron
barcode13	2	6500	292.197	98.0152671755725	Unassigned	omicron
barcode13	2	7000	292.197	98.0152671755725	Unassigned	omicron
barcode13	2	7500	292.197	98.0152671755725	Unassigned	omicron
barcode13	2	8000	292.197	98.0152671755725	Unassigned	omicron
barcode13	2	8500	292.197	98.0152671755725	Unassigned	omicron
barcode13	2	9000	292.197	98.0152671755725	Unassigned	omicron
barcode13	2	9500	292.197	98.0152671755725	Unassigned	omicron
barcode13	3	1000	66.9024	64.0648854961832	BA.1.1	omicron
barcode13	3	10000	292.197	98.0152671755725	Unassigned	omicron
barcode13	3	1500	103.014	88.4160305343511	BA.1	omicron
barcode13	3	2000	130.179	97.6526717557252	Unassigned	omicron
barcode13	3	2500	152.103	98.0152671755725	Unassigned	omicron
barcode13	3	3000	172.603	98.0152671755725	Unassigned	omicron
barcode13	3	3500	194.875	98.0152671755725	Unassigned	omicron
barcode13	3	4000	215.398	98.0152671755725	Unassigned	omicron
barcode13	3	4500	233.671	98.0152671755725	Unassigned	omicron
barcode13	3	500	34.1169	NA	BA.1.1	omicron
barcode13	3	5000	251.257	98.0152671755725	Unassigned	omicron
barcode13	3	5500	265.361	98.0152671755725	Unassigned	omicron
barcode13	3	6000	279.506	98.0152671755725	Unassigned	omicron
barcode13	3	6500	292.197	98.0152671755725	Unassigned	omicron
barcode13	3	7000	292.197	98.0152671755725	Unassigned	omicron
barcode13	3	7500	292.197	98.0152671755725	Unassigned	omicron
barcode13	3	8000	292.197	98.0152671755725	Unassigned	omicron
barcode13	3	8500	292.197	98.0152671755725	Unassigned	omicron
barcode13	3	9000	292.197	98.0152671755725	Unassigned	omicron
barcode13	3	9500	292.197	98.0152671755725	Unassigned	omicron
barcode13	4	1000	65.897	77.0801526717557	BA.1	omicron
barcode13	4	10000	292.197	98.0152671755725	Unassigned	omicron
barcode13	4	1500	100.466	77.8435114503817	BA.1	omicron
barcode13	4	2000	132.689	97.8435114503817	Unassigned	omicron
barcode13	4	2500	156.692	98.0343511450382	Unassigned	omicron
barcode13	4	3000	176.86	98.0343511450382	Unassigned	omicron
barcode13	4	3500	196.212	98.0343511450382	BA.1.20	omicron
barcode13	4	4000	215.928	98.0343511450382	Unassigned	omicron
barcode13	4	4500	230.188	98.0152671755725	Unassigned	omicron
barcode13	4	500	30.9082	NA	BA.1.1	omicron
barcode13	4	5000	249.743	98.0152671755725	Unassigned	omicron
barcode13	4	5500	264.611	98.0152671755725	Unassigned	omicron
barcode13	4	6000	277.165	98.0152671755725	Unassigned	omicron
barcode13	4	6500	292.197	98.0152671755725	Unassigned	omicron
barcode13	4	7000	292.197	98.0152671755725	Unassigned	omicron
barcode13	4	7500	292.197	98.0152671755725	Unassigned	omicron
barcode13	4	8000	292.197	98.0152671755725	Unassigned	omicron
barcode13	4	8500	292.197	98.0152671755725	Unassigned	omicron
barcode13	4	9000	292.197	98.0152671755725	Unassigned	omicron
barcode13	4	9500	292.197	98.0152671755725	Unassigned	omicron
barcode13	5	1000	67.6647	76.9465648854962	BA.1	omicron
barcode13	5	10000	292.197	98.0152671755725	Unassigned	omicron
barcode13	5	1500	101.048	88.2442748091603	BA.1	omicron
barcode13	5	2000	130.215	88.8740458015267	BA.1	omicron
barcode13	5	2500	150.215	97.4427480916031	Unassigned	omicron
barcode13	5	3000	175.292	98.0534351145038	Unassigned	omicron
barcode13	5	3500	195.596	98.0343511450382	Unassigned	omicron
barcode13	5	4000	215.55	98.0343511450382	Unassigned	omicron
barcode13	5	4500	233.723	98.0152671755725	BA.1	omicron
barcode13	5	500	33.6286	NA	BA.1.1	omicron
barcode13	5	5000	251.02	98.0152671755725	Unassigned	omicron
barcode13	5	5500	265.17	98.0152671755725	Unassigned	omicron
barcode13	5	6000	279.177	98.0152671755725	Unassigned	omicron
barcode13	5	6500	292.197	98.0152671755725	Unassigned	omicron
barcode13	5	7000	292.197	98.0152671755725	Unassigned	omicron
barcode13	5	7500	292.197	98.0152671755725	Unassigned	omicron
barcode13	5	8000	292.197	98.0152671755725	Unassigned	omicron
barcode13	5	8500	292.197	98.0152671755725	Unassigned	omicron
barcode13	5	9000	292.197	98.0152671755725	Unassigned	omicron
barcode13	5	9500	292.197	98.0152671755725	Unassigned	omicron
barcode14	1	1000	86.8433	80.8969465648855	AY.20	omicron
barcode14	1	10000	371.193	87.9961832061069	AY.20	omicron
barcode14	1	1500	130.3	87.3664122137405	AY.20	omicron
barcode14	1	2000	163.953	87.4618320610687	AY.20	omicron
barcode14	1	2500	193.165	87.4618320610687	AY.20	omicron
barcode14	1	3000	221.463	87.5572519083969	AY.20	omicron
barcode14	1	3500	251.436	87.5572519083969	AY.20	omicron
barcode14	1	4000	253.751	87.5572519083969	AY.20	omicron
barcode14	1	4500	271.013	87.5572519083969	AY.20	omicron
barcode14	1	500	44.9486	NA	AY.20	omicron
barcode14	1	5000	286.084	87.5572519083969	AY.20	omicron
barcode14	1	5500	301.74	87.5572519083969	AY.20	omicron
barcode14	1	6000	316.38	87.6145038167939	AY.20	omicron
barcode14	1	6500	327.738	87.5763358778626	AY.20	omicron
barcode14	1	7000	336.694	87.9389312977099	AY.20	omicron
barcode14	1	7500	346.883	87.9198473282443	AY.20	omicron
barcode14	1	8000	342.75	87.9961832061069	AY.20	omicron
barcode14	1	8500	351.803	87.9961832061069	AY.20	omicron
barcode14	1	9000	359.078	87.9961832061069	AY.20	omicron
barcode14	1	9500	366.186	87.9961832061069	AY.20	omicron
barcode14	2	1000	88.8588	86.1450381679389	AY.20	omicron
barcode14	2	10000	373.838	88.0916030534351	AY.20	omicron
barcode14	2	1500	131.839	87.5763358778626	AY.20	omicron
barcode14	2	2000	152.779	87.6145038167939	AY.20	omicron
barcode14	2	2500	181.346	87.5954198473282	AY.20	omicron
barcode14	2	3000	205.985	87.5954198473282	AY.20	omicron
barcode14	2	3500	230.096	87.6145038167939	AY.20	omicron
barcode14	2	4000	252.481	87.6145038167939	AY.20	omicron
barcode14	2	4500	269.273	87.6145038167939	AY.20	omicron
barcode14	2	500	42.8209	NA	AY.20	omicron
barcode14	2	5000	285.599	87.9580152671756	AY.20	omicron
barcode14	2	5500	291.292	87.9389312977099	AY.20	omicron
barcode14	2	6000	305.949	87.9389312977099	AY.20	omicron
barcode14	2	6500	318.896	87.9961832061069	AY.20	omicron
barcode14	2	7000	328.626	88.0152671755725	AY.20	omicron
barcode14	2	7500	338.658	88.0534351145038	AY.20	omicron
barcode14	2	8000	346.221	88.0534351145038	AY.20	omicron
barcode14	2	8500	355.298	88.0725190839695	AY.20	omicron
barcode14	2	9000	361.417	88.0534351145038	AY.20	omicron
barcode14	2	9500	368.136	88.0725190839695	AY.20	omicron
barcode14	3	1000	94.3628	87.3473282442748	AY.20	omicron
barcode14	3	10000	377.545	88.0916030534351	AY.20	omicron
barcode14	3	1500	134.451	87.4427480916031	AY.20	omicron
barcode14	3	2000	165.208	87.5763358778626	AY.20	omicron
barcode14	3	2500	192.046	87.6145038167939	AY.20	omicron
barcode14	3	3000	218.866	87.5763358778626	AY.20	omicron
barcode14	3	3500	247.208	87.5763358778626	AY.20	omicron
barcode14	3	4000	270.776	87.5763358778626	AY.20	omicron
barcode14	3	4500	294.978	87.5763358778626	AY.20	omicron
barcode14	3	500	46.3369	NA	AY.20	omicron
barcode14	3	5000	313.811	87.5763358778626	AY.20	omicron
barcode14	3	5500	296.508	87.5763358778626	AY.20	omicron
barcode14	3	6000	309.967	87.9770992366412	AY.20	omicron
barcode14	3	6500	321.404	87.9961832061069	AY.20	omicron
barcode14	3	7000	329.13	88.0534351145038	AY.20	omicron
barcode14	3	7500	339.935	88.0534351145038	AY.20	omicron
barcode14	3	8000	348.054	88.0534351145038	AY.20	omicron
barcode14	3	8500	356.979	88.0725190839695	AY.20	omicron
barcode14	3	9000	364.512	88.0534351145038	AY.20	omicron
barcode14	3	9500	372.178	88.0725190839695	AY.20	omicron
